sample_id,bme688_gas_response_norm,mq135_response_norm,mq7_response_norm,temperature_c,humidity_pct,pressure_hpa,pattern_label
PC_116,0.4957,0.4977,0.22806,26.58,45.16,1015.81,Pattern_C
PD_235,0.81691,0.27059,0.64551,23.46,63.71,1004.3,Pattern_D
PD_185,0.78897,0.36329,0.54645,23.85,60.57,1005.72,Pattern_D
PB_198,0.66924,0.43685,0.68072,24.3,55.46,1010.85,Pattern_B
PA_045,0.32593,0.78583,0.38933,25.16,50.12,1012.0,Pattern_A
PA_060,0.35877,0.73514,0.39406,25.12,48.1,1011.73,Pattern_A
PD_262,0.85944,0.21929,0.72384,24.29,62.46,1007.57,Pattern_D
PA_024,0.40982,0.9094,0.40486,24.55,45.31,1012.48,Pattern_A
PC_275,0.57802,0.60914,0.47448,26.47,45.71,1013.42,Pattern_C
PB_182,0.70813,0.42921,0.73617,24.35,53.2,1008.76,Pattern_B
U_125,0.47215,0.37606,0.53595,25.52,51.09,1012.3,Unknown
PC_146,0.53639,0.55124,0.38714,26.4,43.51,1015.92,Pattern_C
PA_232,0.36868,0.64937,0.40018,24.59,48.52,1014.66,Pattern_A
PA_125,0.30545,0.7805,0.48786,25.23,49.18,1010.39,Pattern_A
PB_128,0.75305,0.52935,0.82801,24.08,55.44,1008.79,Pattern_B
PC_219,0.49179,0.59384,0.23348,26.23,45.79,1013.04,Pattern_C
PA_169,0.34159,0.74462,0.30591,25.65,48.9,1009.02,Pattern_A
PA_116,0.31727,0.70403,0.43712,23.99,48.18,1010.59,Pattern_A
PD_189,0.84991,0.14752,0.56257,23.66,64.54,1007.83,Pattern_D
PD_087,0.7832,0.30895,0.60712,23.67,61.47,1008.07,Pattern_D
U_196,0.50485,0.43935,0.50764,26.12,51.63,1011.66,Unknown
U_225,0.56179,0.41989,0.47098,26.48,52.21,1013.28,Unknown
PB_116,0.72484,0.37439,0.80596,24.16,57.4,1011.98,Pattern_B
PA_142,0.47484,0.77533,0.33756,25.44,49.2,1011.12,Pattern_A
U_034,0.43797,0.47115,0.51105,26.2,48.74,1008.36,Unknown
U_094,0.45021,0.34415,0.508,25.07,50.73,1010.86,Unknown
PC_163,0.53713,0.62845,0.34267,26.16,43.02,1010.61,Pattern_C
U_007,0.57166,0.47269,0.61026,25.37,54.42,1008.3,Unknown
PB_163,0.66656,0.40936,0.73435,25.69,56.22,1007.17,Pattern_B
U_044,0.44461,0.46659,0.52105,25.43,54.31,1008.56,Unknown
PA_079,0.36083,0.65746,0.40086,24.82,49.37,1012.33,Pattern_A
PD_105,0.7065,0.33241,0.58534,23.51,63.88,1001.04,Pattern_D
U_291,0.34132,0.46531,0.56735,26.22,50.08,1013.15,Unknown
PB_272,0.70095,0.45413,0.87263,24.86,51.47,1010.53,Pattern_B
PA_016,0.3366,0.7136,0.3546,24.96,46.29,1009.4,Pattern_A
PB_195,0.68156,0.316,0.84459,24.19,59.47,1007.94,Pattern_B
PB_051,0.69412,0.30856,0.71717,24.85,54.38,1007.08,Pattern_B
PD_100,0.72686,0.20446,0.59343,24.53,62.45,1002.51,Pattern_D
PA_275,0.21793,0.72347,0.37285,25.53,49.61,1010.75,Pattern_A
PD_292,0.8685,0.33682,0.63838,24.0,61.02,1006.1,Pattern_D
PA_272,0.17106,0.82338,0.4025,25.49,47.32,1010.5,Pattern_A
U_274,0.39725,0.50418,0.38051,25.03,50.73,1011.44,Unknown
PA_238,0.32148,0.81108,0.39088,24.59,51.81,1013.66,Pattern_A
PB_286,0.70809,0.3294,0.72246,24.98,55.78,1007.45,Pattern_B
U_113,0.47867,0.43342,0.49958,25.82,51.1,1010.93,Unknown
PC_095,0.50759,0.61977,0.21174,25.54,44.79,1015.91,Pattern_C
PD_102,0.72481,0.20759,0.56869,23.98,58.39,1006.27,Pattern_D
PB_023,0.63252,0.50408,0.67899,25.22,54.93,1005.91,Pattern_B
PC_183,0.53459,0.5517,0.27274,26.16,46.58,1014.83,Pattern_C
U_159,0.50441,0.51123,0.52354,25.42,50.38,1011.97,Unknown
U_004,0.47532,0.41311,0.53904,25.47,53.27,1009.67,Unknown
PD_071,0.75895,0.2136,0.58877,23.71,57.84,1005.91,Pattern_D
U_267,0.54662,0.54527,0.5274,25.34,53.69,1011.47,Unknown
PB_227,0.82695,0.40287,0.67258,24.19,54.89,1008.98,Pattern_B
U_226,0.49138,0.486,0.48167,25.92,54.99,1008.14,Unknown
PD_271,0.78682,0.37896,0.54398,24.15,62.09,1007.68,Pattern_D
PA_176,0.2317,0.70674,0.38658,26.1,46.97,1014.65,Pattern_A
PB_059,0.65996,0.42828,0.75619,24.83,53.14,1006.06,Pattern_B
PA_044,0.29264,0.63063,0.36571,24.88,50.51,1011.0,Pattern_A
PB_117,0.67329,0.27748,0.72712,25.05,56.22,1008.45,Pattern_B
PB_045,0.663,0.40876,0.81787,24.49,56.17,1007.65,Pattern_B
PD_127,0.68865,0.27696,0.51794,24.24,62.63,1003.85,Pattern_D
U_202,0.48605,0.36188,0.56053,25.46,53.74,1011.24,Unknown
PA_102,0.34196,0.74913,0.27886,25.24,47.72,1012.42,Pattern_A
PA_108,0.4129,0.73118,0.35976,24.94,51.35,1008.88,Pattern_A
U_290,0.56876,0.53853,0.40155,26.11,54.97,1007.89,Unknown
PD_153,0.7843,0.33577,0.68565,24.68,61.86,1004.04,Pattern_D
PD_065,0.77692,0.41499,0.61216,23.39,60.4,1007.47,Pattern_D
PB_081,0.74794,0.42087,0.8263,24.62,56.01,1008.65,Pattern_B
PA_245,0.35437,0.72262,0.30282,24.39,46.86,1008.82,Pattern_A
PD_200,0.74642,0.26593,0.56588,23.74,59.78,1007.28,Pattern_D
PB_201,0.7487,0.4647,0.87797,23.8,54.42,1007.17,Pattern_B
PC_101,0.4755,0.4707,0.31244,26.95,48.06,1014.54,Pattern_C
PA_129,0.22961,0.82932,0.48374,25.61,50.56,1014.43,Pattern_A
PA_240,0.31303,0.71458,0.3536,23.67,47.26,1014.02,Pattern_A
PD_215,0.76525,0.18807,0.62916,23.31,65.29,1008.28,Pattern_D
PC_083,0.47791,0.52298,0.31312,25.21,46.21,1016.47,Pattern_C
PB_183,0.67483,0.37689,0.72027,23.96,57.15,1008.14,Pattern_B
U_106,0.59382,0.60794,0.51692,25.75,54.62,1007.86,Unknown
PA_276,0.27214,0.80274,0.41218,24.83,49.48,1009.18,Pattern_A
PB_283,0.66449,0.43569,0.84645,24.48,57.21,1009.94,Pattern_B
PA_204,0.23426,0.80612,0.37733,25.58,50.9,1013.41,Pattern_A
PA_033,0.27892,0.81499,0.31358,24.6,51.42,1011.29,Pattern_A
U_120,0.4196,0.43893,0.45966,25.55,53.28,1014.09,Unknown
PC_214,0.54876,0.52857,0.24752,26.12,43.62,1014.5,Pattern_C
PD_098,0.76864,0.34579,0.43127,24.06,61.65,1004.13,Pattern_D
PB_082,0.71836,0.56803,0.81826,23.79,55.98,1010.05,Pattern_B
PD_174,0.8231,0.39227,0.61652,23.88,64.73,1004.84,Pattern_D
U_149,0.50514,0.44384,0.5729,27.31,53.52,1010.18,Unknown
PB_279,0.75816,0.48087,0.66728,24.36,57.41,1008.99,Pattern_B
PC_288,0.48398,0.54537,0.2813,26.73,49.45,1013.53,Pattern_C
U_126,0.40147,0.57686,0.49866,25.64,51.13,1007.0,Unknown
U_127,0.47232,0.49176,0.54057,25.41,47.18,1007.23,Unknown
PD_042,0.69668,0.24501,0.48442,23.82,62.87,1002.43,Pattern_D
PA_164,0.22207,0.74885,0.4078,24.31,50.5,1013.32,Pattern_A
PD_010,0.7401,0.33705,0.46864,24.37,63.37,1006.62,Pattern_D
PA_298,0.166,0.65608,0.42127,25.55,52.44,1009.13,Pattern_A
PC_156,0.56997,0.61886,0.38765,25.33,44.98,1015.66,Pattern_C
PB_106,0.59628,0.48679,0.6989,24.55,54.47,1006.28,Pattern_B
PD_069,0.74907,0.23428,0.69353,24.01,63.26,1006.59,Pattern_D
PC_006,0.55998,0.67739,0.24083,25.94,44.62,1012.68,Pattern_C
PB_121,0.66816,0.53585,0.74717,23.69,59.16,1009.23,Pattern_B
PB_165,0.70116,0.42614,0.76065,24.47,53.73,1007.19,Pattern_B
PD_288,0.68948,0.32285,0.57661,24.03,61.14,1003.56,Pattern_D
PD_040,0.77952,0.14725,0.60677,24.32,62.8,1006.05,Pattern_D
PA_193,0.315,0.6835,0.42187,25.05,50.0,1014.65,Pattern_A
PC_075,0.46706,0.59029,0.27008,25.75,44.61,1015.11,Pattern_C
PB_052,0.75705,0.35193,0.71211,24.6,55.86,1008.89,Pattern_B
PC_259,0.52012,0.51524,0.37763,25.96,45.1,1017.44,Pattern_C
PA_064,0.38823,0.69025,0.38647,25.59,46.48,1009.75,Pattern_A
PD_274,0.8404,0.21596,0.58763,24.32,57.27,1008.63,Pattern_D
PC_166,0.56667,0.70048,0.2944,25.87,46.67,1016.56,Pattern_C
U_241,0.52842,0.58256,0.46497,24.67,53.1,1009.4,Unknown
PA_262,0.23601,0.73053,0.42378,24.29,50.06,1011.6,Pattern_A
PB_043,0.74374,0.60573,0.78199,24.76,53.92,1004.74,Pattern_B
U_021,0.3392,0.39668,0.58784,25.87,54.9,1012.5,Unknown
PB_172,0.78132,0.54509,0.66014,25.62,52.99,1009.77,Pattern_B
U_135,0.49067,0.34883,0.50595,25.14,51.59,1006.97,Unknown
PA_199,0.33371,0.71084,0.47191,25.45,49.44,1013.35,Pattern_A
U_032,0.5183,0.48321,0.41588,25.46,49.28,1009.81,Unknown
PD_018,0.72001,0.25174,0.58445,23.37,60.87,1002.79,Pattern_D
PC_144,0.48833,0.61379,0.3029,25.98,47.39,1013.89,Pattern_C
PB_271,0.68044,0.4125,0.82386,24.06,61.19,1008.68,Pattern_B
PA_219,0.14721,0.69741,0.3092,25.36,48.51,1012.73,Pattern_A
PB_154,0.73717,0.34941,0.77054,25.08,51.18,1008.32,Pattern_B
PA_031,0.37183,0.73426,0.35534,25.5,50.94,1014.76,Pattern_A
PA_057,0.26309,0.74028,0.44932,25.27,44.96,1012.55,Pattern_A
U_011,0.484,0.5469,0.56788,25.31,53.22,1010.76,Unknown
U_186,0.40881,0.47795,0.55562,25.14,50.66,1010.82,Unknown
PD_166,0.77613,0.20904,0.60312,23.8,66.21,1004.54,Pattern_D
PB_131,0.62549,0.48292,0.75478,24.65,56.01,1009.79,Pattern_B
PC_125,0.48918,0.6233,0.22637,24.99,45.9,1015.93,Pattern_C
PD_245,0.7641,0.33128,0.54486,23.87,58.83,1006.96,Pattern_D
PD_106,0.79907,0.40526,0.6664,23.98,61.34,1003.86,Pattern_D
PD_151,0.86638,0.25336,0.56572,23.31,64.18,1008.78,Pattern_D
U_146,0.56971,0.51605,0.41708,25.59,56.71,1008.44,Unknown
U_037,0.46745,0.4211,0.48237,24.93,52.47,1009.73,Unknown
U_036,0.52454,0.41074,0.47176,25.92,48.15,1007.62,Unknown
U_249,0.4595,0.50849,0.44317,25.37,51.65,1009.19,Unknown
PC_021,0.52254,0.64527,0.33611,26.41,44.78,1017.5,Pattern_C
PD_168,0.78132,0.2102,0.56913,24.18,61.04,1004.55,Pattern_D
PC_239,0.56536,0.47739,0.34971,26.37,47.75,1014.91,Pattern_C
PA_100,0.22954,0.69247,0.34876,25.37,50.53,1008.81,Pattern_A
PB_233,0.68474,0.34326,0.75305,24.98,52.14,1007.63,Pattern_B
PB_229,0.62953,0.34275,0.82385,24.81,57.15,1008.07,Pattern_B
U_147,0.47675,0.56188,0.53703,26.62,50.39,1008.22,Unknown
PD_273,0.78432,0.27363,0.55242,23.25,63.22,1003.52,Pattern_D
PD_279,0.77529,0.32669,0.59342,24.23,61.2,1005.09,Pattern_D
PC_030,0.57998,0.53914,0.22561,26.21,44.84,1011.61,Pattern_C
PD_128,0.78399,0.26897,0.67685,24.05,63.47,1000.2,Pattern_D
PA_271,0.33176,0.72303,0.42571,25.53,50.42,1014.04,Pattern_A
U_142,0.32067,0.40651,0.56605,25.95,52.82,1011.59,Unknown
PC_027,0.50906,0.51733,0.30382,25.2,44.02,1016.37,Pattern_C
PD_143,0.8354,0.26286,0.59317,24.22,59.45,1005.02,Pattern_D
PD_077,0.82288,0.29861,0.64821,24.39,64.64,1007.17,Pattern_D
PB_072,0.6883,0.45765,0.89115,24.62,56.07,1006.06,Pattern_B
PB_289,0.59528,0.41271,0.85367,24.42,57.88,1008.63,Pattern_B
PD_068,0.81856,0.37266,0.56135,23.63,59.88,1004.73,Pattern_D
PD_266,0.75097,0.32189,0.56336,23.82,63.53,1006.95,Pattern_D
PD_247,0.73183,0.26838,0.58006,23.85,58.25,1004.58,Pattern_D
PA_237,0.42261,0.78471,0.43827,25.01,49.52,1011.62,Pattern_A
PB_297,0.69868,0.43209,0.79345,23.9,56.42,1011.7,Pattern_B
PD_063,0.77701,0.37218,0.73231,23.94,62.26,1005.31,Pattern_D
U_246,0.52129,0.47526,0.59048,26.01,51.74,1009.64,Unknown
PD_264,0.88831,0.19711,0.67658,23.55,61.02,1002.8,Pattern_D
PB_291,0.68974,0.44288,0.75076,24.68,54.41,1006.83,Pattern_B
PA_209,0.29056,0.61864,0.43804,25.68,48.25,1012.54,Pattern_A
PD_175,0.78183,0.4119,0.67732,23.8,61.0,1007.63,Pattern_D
PC_300,0.5358,0.64035,0.30625,26.53,41.12,1017.14,Pattern_C
PB_054,0.69183,0.47022,0.79331,24.52,53.22,1008.12,Pattern_B
PA_059,0.21301,0.81594,0.4021,25.38,48.74,1013.46,Pattern_A
PB_004,0.70662,0.40305,0.63354,24.85,57.69,1009.16,Pattern_B
U_248,0.55682,0.46829,0.63682,25.6,49.12,1008.99,Unknown
PC_244,0.52401,0.60224,0.21709,26.36,42.85,1014.61,Pattern_C
U_062,0.44417,0.4873,0.57596,25.75,46.28,1011.15,Unknown
U_231,0.38068,0.4894,0.44066,24.96,51.75,1012.21,Unknown
U_010,0.48561,0.45011,0.60046,25.18,55.06,1008.13,Unknown
PB_068,0.68499,0.45931,0.82485,24.37,54.0,1008.79,Pattern_B
U_158,0.50624,0.5337,0.42277,25.45,51.91,1009.56,Unknown
PD_298,0.75574,0.3164,0.59225,24.07,60.64,1006.28,Pattern_D
U_105,0.42158,0.46947,0.54039,25.41,54.53,1009.22,Unknown
U_033,0.43902,0.49483,0.41946,25.51,53.26,1011.63,Unknown
PC_105,0.48209,0.62722,0.30383,26.88,43.53,1016.63,Pattern_C
PA_234,0.33166,0.62836,0.45095,24.85,49.55,1011.12,Pattern_A
PC_019,0.51219,0.58191,0.30823,26.3,44.68,1015.15,Pattern_C
PA_197,0.25809,0.72966,0.40197,25.19,47.09,1013.54,Pattern_A
U_060,0.52142,0.48058,0.48678,26.19,50.95,1010.7,Unknown
PA_082,0.25713,0.74797,0.32891,25.3,52.39,1012.66,Pattern_A
U_205,0.47702,0.50453,0.50278,25.56,55.79,1012.16,Unknown
PB_298,0.68431,0.41599,0.77854,25.41,52.75,1008.37,Pattern_B
PD_257,0.74008,0.2644,0.56845,23.76,60.17,1001.36,Pattern_D
PA_112,0.21114,0.75133,0.34864,23.85,51.73,1012.49,Pattern_A
U_077,0.41906,0.44315,0.50202,25.6,50.26,1011.62,Unknown
PC_181,0.60878,0.60656,0.24261,25.72,43.57,1013.72,Pattern_C
PD_084,0.80386,0.32954,0.58308,23.65,61.64,1005.24,Pattern_D
PC_200,0.58277,0.54275,0.30101,26.38,44.02,1014.23,Pattern_C
U_066,0.42737,0.5445,0.50711,25.31,51.9,1007.66,Unknown
PD_251,0.72133,0.38823,0.53601,24.01,60.16,1006.37,Pattern_D
PC_225,0.51113,0.72281,0.3631,26.16,44.94,1016.52,Pattern_C
PB_083,0.74615,0.39227,0.8299,24.92,60.66,1006.65,Pattern_B
PB_239,0.71386,0.32557,0.73307,25.18,52.63,1009.57,Pattern_B
U_294,0.47009,0.38646,0.48751,25.66,51.82,1007.21,Unknown
PD_213,0.7149,0.19299,0.69956,23.51,61.7,1004.28,Pattern_D
PB_025,0.65912,0.30281,0.71487,24.09,53.08,1011.6,Pattern_B
PB_062,0.8347,0.3089,0.7157,24.22,53.13,1006.06,Pattern_B
U_288,0.52917,0.49028,0.42989,25.81,52.0,1009.13,Unknown
PD_130,0.87411,0.31588,0.53393,23.82,56.26,1003.05,Pattern_D
PC_108,0.46233,0.55112,0.29333,25.99,45.47,1015.9,Pattern_C
PB_033,0.69274,0.48274,0.76527,24.68,55.67,1007.84,Pattern_B
PB_130,0.67597,0.44478,0.71105,24.07,57.79,1010.47,Pattern_B
U_043,0.52198,0.36923,0.4804,25.65,55.23,1008.96,Unknown
PB_126,0.58765,0.41296,0.73398,23.56,55.86,1007.32,Pattern_B
PC_029,0.57102,0.64878,0.25363,25.4,45.92,1015.98,Pattern_C
PD_212,0.75699,0.35276,0.57325,23.39,61.62,1005.93,Pattern_D
PC_078,0.48414,0.55915,0.29089,26.19,43.19,1014.87,Pattern_C
PC_094,0.57788,0.62964,0.2001,25.4,46.17,1012.58,Pattern_C
PC_158,0.4181,0.53716,0.31388,26.01,39.07,1017.24,Pattern_C
PA_255,0.27665,0.79013,0.45191,24.92,45.3,1013.11,Pattern_A
PD_195,0.84938,0.33842,0.6502,23.35,61.18,1002.76,Pattern_D
PD_017,0.74696,0.33835,0.6234,23.45,60.92,1000.99,Pattern_D
PD_286,0.72599,0.36437,0.65001,23.88,58.71,1004.79,Pattern_D
PC_069,0.47391,0.67581,0.3017,26.12,46.51,1018.1,Pattern_C
PC_242,0.56971,0.5318,0.27982,26.46,45.92,1015.27,Pattern_C
PC_207,0.40919,0.53383,0.35203,26.18,45.41,1013.19,Pattern_C
U_257,0.52347,0.56683,0.4666,25.75,52.95,1010.01,Unknown
PA_087,0.33676,0.67526,0.43387,25.73,47.87,1010.4,Pattern_A
U_222,0.47707,0.6309,0.48831,25.75,53.42,1011.32,Unknown
PA_266,0.22375,0.62835,0.36957,24.67,50.83,1012.81,Pattern_A
PA_288,0.26355,0.84499,0.44764,25.04,47.93,1011.05,Pattern_A
U_284,0.47393,0.41393,0.6266,24.81,48.86,1011.02,Unknown
PC_293,0.57453,0.54625,0.27971,26.39,40.74,1014.9,Pattern_C
U_296,0.49775,0.3835,0.49577,24.97,49.54,1012.96,Unknown
PD_079,0.80534,0.43116,0.59063,24.9,62.39,1005.04,Pattern_D
PB_235,0.70359,0.39772,0.78878,24.64,57.25,1007.01,Pattern_B
PD_101,0.79238,0.29653,0.63184,24.07,55.43,1005.98,Pattern_D
PA_222,0.31611,0.61672,0.37257,25.33,45.87,1010.07,Pattern_A
PA_114,0.32132,0.70915,0.42901,25.28,52.75,1011.06,Pattern_A
PC_073,0.5523,0.63867,0.23653,26.07,49.84,1014.97,Pattern_C
PB_284,0.66727,0.45865,0.74539,25.09,56.4,1005.86,Pattern_B
PA_175,0.25807,0.66415,0.34774,25.24,47.9,1012.79,Pattern_A
PB_236,0.68227,0.416,0.80225,24.04,57.24,1008.84,Pattern_B
PD_179,0.92265,0.39472,0.62267,23.91,62.36,1003.19,Pattern_D
PD_277,0.92361,0.26267,0.66973,23.81,64.33,1003.76,Pattern_D
PD_207,0.76231,0.31292,0.62488,24.12,63.22,1004.57,Pattern_D
PD_083,0.88991,0.37715,0.58154,23.7,63.27,1008.01,Pattern_D
PA_286,0.26805,0.57208,0.41846,24.95,47.77,1012.23,Pattern_A
PC_268,0.46853,0.52277,0.18093,25.89,41.77,1013.2,Pattern_C
PB_075,0.70708,0.37967,0.66507,24.16,54.88,1010.1,Pattern_B
PD_297,0.80444,0.29301,0.61715,23.83,61.58,1005.61,Pattern_D
PA_032,0.31008,0.64041,0.29791,25.74,53.79,1011.68,Pattern_A
PB_252,0.70666,0.46576,0.69946,24.3,53.89,1009.17,Pattern_B
